City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Deputatskiy,RU,2020-02-20 16:57:08,69.3,139.9,-5.33,96,100,3.42
1,Rikitea,PF,2020-02-20 16:57:09,-23.12,-134.97,79.03,71,71,8.55
2,Castro,BR,2020-02-20 16:57:09,-24.79,-50.01,83.97,46,31,6.55
3,Airai,TL,2020-02-20 16:57:10,-8.93,125.41,66.87,93,99,5.66
4,Mahebourg,MU,2020-02-20 16:57:10,-20.41,57.7,78.8,78,20,3.36
5,Torbay,CA,2020-02-20 16:57:11,47.67,-52.73,23.0,62,75,32.21
6,Nikolskoye,RU,2020-02-20 16:57:11,59.7,30.79,34.0,86,90,6.71
7,Busselton,AU,2020-02-20 16:57:12,-33.65,115.33,72.0,29,0,15.26
8,Bambous Virieux,MU,2020-02-20 16:57:12,-20.34,57.76,78.8,78,20,3.36
9,Santiago De Chuco,PE,2020-02-20 16:57:13,-8.15,-78.18,58.35,60,96,3.06
10,New Norfolk,AU,2020-02-20 16:57:13,-42.78,147.06,53.6,62,75,5.82
11,Longyearbyen,SJ,2020-02-20 16:57:14,78.22,15.64,8.6,55,40,21.92
12,Srednekolymsk,RU,2020-02-20 16:57:14,67.45,153.68,-17.59,96,95,4.99
13,Atuona,PF,2020-02-20 16:57:15,-9.8,-139.03,81.52,76,27,21.16
14,Vaini,TO,2020-02-20 16:57:15,-21.2,-175.2,71.6,88,20,4.7
15,Lorengau,PG,2020-02-20 16:57:16,-2.02,147.27,83.37,76,87,13.09
16,Carnarvon,AU,2020-02-20 16:57:17,-24.87,113.63,82.4,58,40,14.99
17,Cabo San Lucas,MX,2020-02-20 16:53:25,22.89,-109.91,80.01,47,5,4.7
18,East London,ZA,2020-02-20 16:57:18,-33.02,27.91,73.4,88,40,25.28
19,Tuktoyaktuk,CA,2020-02-20 16:57:18,69.45,-133.04,1.4,84,90,8.05
20,Provideniya,RU,2020-02-20 16:57:19,64.38,-173.3,-15.9,86,0,12.26
21,Khasan,RU,2020-02-20 16:57:19,42.43,130.64,23.52,90,57,2.3
22,Bilibino,RU,2020-02-20 16:57:20,68.05,166.44,-25.06,98,100,1.19
23,Luanda,AO,2020-02-20 16:55:02,-8.84,13.23,87.8,66,20,11.41
24,Lebu,CL,2020-02-20 16:57:21,-37.62,-73.65,79.65,25,0,7.67
25,Annau,TM,2020-02-20 16:57:22,37.89,58.52,48.2,66,75,9.17
26,Norman Wells,CA,2020-02-20 16:57:23,65.28,-126.83,8.6,84,75,2.24
27,Lavrentiya,RU,2020-02-20 16:57:23,65.58,-171.0,-16.08,86,0,7.94
28,Vila Velha,BR,2020-02-20 16:57:24,-20.33,-40.29,89.6,62,20,16.11
29,Mjolby,SE,2020-02-20 16:57:25,58.33,15.12,39.2,93,75,14.99
30,Cape Town,ZA,2020-02-20 16:57:25,-33.93,18.42,72.0,64,20,25.28
31,Ha Tinh,VN,2020-02-20 16:56:00,18.33,105.9,69.93,89,36,1.77
32,Gushikawa,JP,2020-02-20 16:57:26,26.35,127.87,64.4,76,1,8.05
33,Inhapim,BR,2020-02-20 16:57:26,-19.55,-42.12,87.8,58,75,4.7
34,Pangnirtung,CA,2020-02-20 16:57:27,66.15,-65.71,-31.0,66,20,3.36
35,Upernavik,GL,2020-02-20 16:57:28,72.79,-56.15,-8.39,99,100,3.91
36,Kodiak,US,2020-02-20 16:57:29,57.79,-152.41,35.6,87,20,8.05
37,Ust-Charyshskaya Pristan,RU,2020-02-20 16:57:29,52.39,83.66,26.44,75,100,18.61
38,Corinth,GR,2020-02-20 16:55:47,37.94,22.96,54.0,81,75,6.93
39,Outjo,NA,2020-02-20 16:57:30,-20.12,16.15,73.4,78,61,2.24
40,Mataura,NZ,2020-02-20 16:57:31,-46.19,168.86,63.0,84,100,8.25
41,Punta Arenas,CL,2020-02-20 16:55:47,-53.15,-70.92,57.2,47,36,21.92
42,Arraial Do Cabo,BR,2020-02-20 16:57:32,-22.97,-42.03,93.2,59,20,12.75
43,Sibolga,ID,2020-02-20 16:56:29,1.74,98.78,70.59,93,0,3.76
44,Hermanus,ZA,2020-02-20 16:57:33,-34.42,19.23,72.0,77,0,3.0
45,Butaritari,KI,2020-02-20 16:57:35,3.07,172.79,82.89,81,100,15.23
46,Orlik,RU,2020-02-20 16:57:36,52.52,99.83,-9.44,86,88,3.31
47,Mahon,ES,2020-02-20 16:57:36,39.89,4.27,55.4,71,20,4.7
48,Qaanaaq,GL,2020-02-20 16:57:36,77.48,-69.36,-14.98,60,0,4.74
49,Saint Anthony,US,2020-02-20 16:57:37,45.02,-93.22,9.0,54,1,8.05
50,Madimba,TZ,2020-02-20 16:57:37,-10.4,40.33,78.8,88,40,6.93
51,Barrow,US,2020-02-20 16:57:38,71.29,-156.79,-5.8,76,90,4.7
52,Scottsboro,US,2020-02-20 16:55:18,34.67,-86.03,39.99,100,75,9.17
53,Hithadhoo,MV,2020-02-20 16:57:39,-0.6,73.08,83.43,77,37,14.07
54,Tekirdag,TR,2020-02-20 16:56:30,40.98,27.51,44.01,93,75,17.22
55,Thompson,CA,2020-02-20 16:57:40,55.74,-97.86,6.8,71,40,9.17
56,Meulaboh,ID,2020-02-20 16:57:40,4.14,96.13,83.19,74,4,4.23
57,Mikkeli,FI,2020-02-20 16:57:41,61.67,27.25,24.8,85,25,7.14
58,Faanui,PF,2020-02-20 16:57:41,-16.48,-151.75,82.13,79,100,18.66
59,Port Alfred,ZA,2020-02-20 16:57:42,-33.59,26.89,71.01,91,24,4.0
60,Puerto Ayora,EC,2020-02-20 16:55:59,-0.74,-90.35,86.0,66,40,16.11
61,Saint-Philippe,RE,2020-02-20 16:57:43,-21.36,55.77,78.8,69,1,16.11
62,Iskitim,RU,2020-02-20 16:57:33,54.64,83.3,24.8,85,90,15.66
63,Zhuhai,CN,2020-02-20 16:57:44,22.28,113.57,64.4,68,0,10.29
64,Plaridel,PH,2020-02-20 16:57:45,14.89,120.86,77.0,57,40,5.82
65,Albany,US,2020-02-20 16:57:45,42.6,-73.97,30.99,50,75,12.75
66,Half Moon Bay,US,2020-02-20 16:56:06,37.46,-122.43,55.0,93,1,3.27
67,Shimoda,JP,2020-02-20 16:57:47,34.67,138.95,46.0,87,4,1.99
68,Bluff,NZ,2020-02-20 16:57:48,-46.6,168.33,63.0,84,100,6.6
69,Stavyshche,UA,2020-02-20 16:57:48,50.4,29.53,42.01,90,75,2.24
70,Trinidad,BO,2020-02-20 16:57:49,-14.83,-64.9,87.8,74,75,9.17
71,Severo-Kurilsk,RU,2020-02-20 16:57:49,50.68,156.12,18.39,92,99,19.93
72,Bredasdorp,ZA,2020-02-20 16:57:50,-34.53,20.04,73.4,53,4,12.75
73,Grindavik,IS,2020-02-20 16:57:50,63.84,-22.43,33.8,74,75,20.8
74,Kaitangata,NZ,2020-02-20 16:57:51,-46.28,169.85,60.01,91,100,1.99
75,Wanning,CN,2020-02-20 16:57:51,18.8,110.4,68.49,84,34,9.46
76,Hilo,US,2020-02-20 16:57:52,19.73,-155.09,70.0,77,75,6.93
77,Khatanga,RU,2020-02-20 16:57:52,71.97,102.5,0.91,84,94,6.96
78,Ushuaia,AR,2020-02-20 16:57:03,-54.8,-68.3,53.6,50,85,10.29
79,Anadyr,RU,2020-02-20 16:57:53,64.75,177.48,-20.0,68,0,6.71
80,Osoyoos,CA,2020-02-20 16:57:54,49.03,-119.45,28.99,85,5,3.36
81,Ilulissat,GL,2020-02-20 16:57:54,69.22,-51.1,1.4,64,40,10.29
82,Malatya,TR,2020-02-20 16:57:55,38.5,38.0,39.2,86,75,4.7
